repository,issue_number,issue_url,state,decision,decision_provenance
infiniflow/ragflow,1137,https://github.com/infiniflow/ragflow/issues/1137,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1139,https://github.com/infiniflow/ragflow/issues/1139,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1150,https://github.com/infiniflow/ragflow/issues/1150,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1154,https://github.com/infiniflow/ragflow/issues/1154,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1158,https://github.com/infiniflow/ragflow/issues/1158,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1159,https://github.com/infiniflow/ragflow/issues/1159,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1162,https://github.com/infiniflow/ragflow/issues/1162,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1172,https://github.com/infiniflow/ragflow/issues/1172,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1179,https://github.com/infiniflow/ragflow/issues/1179,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1182,https://github.com/infiniflow/ragflow/issues/1182,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1183,https://github.com/infiniflow/ragflow/issues/1183,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1207,https://github.com/infiniflow/ragflow/issues/1207,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1210,https://github.com/infiniflow/ragflow/issues/1210,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1234,https://github.com/infiniflow/ragflow/issues/1234,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1237,https://github.com/infiniflow/ragflow/issues/1237,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1238,https://github.com/infiniflow/ragflow/issues/1238,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1239,https://github.com/infiniflow/ragflow/issues/1239,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1250,https://github.com/infiniflow/ragflow/issues/1250,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1272,https://github.com/infiniflow/ragflow/issues/1272,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1288,https://github.com/infiniflow/ragflow/issues/1288,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1304,https://github.com/infiniflow/ragflow/issues/1304,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1306,https://github.com/infiniflow/ragflow/issues/1306,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1317,https://github.com/infiniflow/ragflow/issues/1317,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1328,https://github.com/infiniflow/ragflow/issues/1328,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1340,https://github.com/infiniflow/ragflow/issues/1340,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1342,https://github.com/infiniflow/ragflow/issues/1342,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1345,https://github.com/infiniflow/ragflow/issues/1345,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1352,https://github.com/infiniflow/ragflow/issues/1352,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1389,https://github.com/infiniflow/ragflow/issues/1389,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1395,https://github.com/infiniflow/ragflow/issues/1395,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1400,https://github.com/infiniflow/ragflow/issues/1400,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1402,https://github.com/infiniflow/ragflow/issues/1402,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1403,https://github.com/infiniflow/ragflow/issues/1403,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1407,https://github.com/infiniflow/ragflow/issues/1407,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1425,https://github.com/infiniflow/ragflow/issues/1425,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
